n,e
486,0.9132109412377115
487,1.0437918150031988
488,1.1736916060286975
489,1.2213251279363484
490,1.23899616461005
491,1.3072357816106557
492,1.2403166944399486
493,1.1489832860606233
494,1.0749402948828208
495,0.9947497969185225
496,0.8891698001531806
497,0.7301746915568734
498,0.6700892788904136
499,0.5920262026863562
500,0.5006340783636065
501,0.4358002173034593
502,0.3721827683686416
503,0.2807560633681675
504,0.38554142635646965
505,0.5530332676498995
506,0.6129436733553142
507,0.7226925184852993
508,0.7597539137345937
509,0.7783018139401949
510,0.7686289173911445
511,0.5979980009862321
512,0.5366929483117594
513,0.2995840802111179
514,0.18349194036840574
515,0.3428248263619417
516,0.6375123801159517
517,0.8285298470844826
518,1.0232354771559364
519,1.1076553998136058
520,1.1287103831654681
521,1.0174748139647205
522,0.8858615990992957
523,0.7380084078922764
524,0.5185811068434144
525,0.44840519493874453
526,0.45963073395006054
527,0.511639517393885
528,0.6210884903675788
529,0.671963740651827
530,0.7058952021628366
531,0.665701769371562
532,0.6622096295163186
533,0.6554340336623415
534,0.6737972511263571
535,0.6077928452227336
536,0.6083094799288408
537,0.5042295808119425
538,0.4039209251756054
539,0.34511545941633864
540,0.47581740194378164
541,0.6275385734318798
542,0.814043921504841
543,0.9255674071755534
544,0.9695133883866945
545,0.9469033819412701
546,0.9048391524142564
547,0.8272655508698114
548,0.6790919497939433
549,0.5477811667109346
550,0.39608579263723165
551,0.33568754898228753
552,0.4070548312509691
553,0.5435995519554849
554,0.6416524763125512
555,0.7884395639703301
556,0.9023360741654568
557,0.9161700239503439
558,0.983851049032558
559,0.8906001728623181
560,0.779600072109827
561,0.5958617436105115
562,0.364075313426049
563,0.19840236400860176
564,0.24867577970645016
565,0.4363932884686002
566,0.5656989360201083
567,0.6275411608549454
568,0.6538828303372272
569,0.5561865659830008
570,0.45608648393292045
571,0.31800814937928285
572,0.16658780899007378
573,0.2622570837565899
574,0.5197082968943338
575,0.6711391999668659
576,0.7873265136609251
577,0.8322875922104404
578,0.8384446360798951
579,0.8401569406328275
580,0.7713536271786839
581,0.8301689369703019
582,0.9245861337029654
583,1.0207942230223852
584,1.1360990405228244
585,1.184358793444667
586,1.2430551326415855
587,1.2376431598550024
588,1.222176529253113
589,1.1622471857052694
590,1.1228371174476053
591,1.0029805969634094
592,0.9400282464736894
593,0.8944782603566513
594,0.769749930642236
595,0.7100583202293185
596,0.623160108235854
597,0.5135014828257665
598,0.43038454149344835
599,0.35563155920811634
600,0.2560189926451962
601,0.25925217413289425
602,0.1570091774405301
603,0.13725587135497452
604,0.11440304868966703
605,0.027286618129321195
606,0.024546354644270352
607,0.05928561829373008
608,0.11566118285205776
609,0.1939493651945936
610,0.23846007354435303
611,0.32991867406735614
612,0.3800842604813033
613,0.5059601704794645
614,0.5821877750942304
615,0.6683685814381747
616,0.7829798426288188
