ang,g03,p03,g06,p06,g10,p10,g115,p115
168.0,27.417208061369436,3.1676594953073334,27.4042606872243,1.8772332233353666,27.390976103811518,-1.1907099296435035,27.393687910060525,-2.737794362392833
169.0,27.416149242829967,3.163659259655276,27.400083775633806,1.8604984672188607,27.379762494832374,-1.2413662432222168,27.379145085404627,-2.807410958156453
170.0,27.415050975908407,3.160153056842603,27.395739549965125,1.845707314802496,27.368032710824398,-1.2868694208624731,27.36388862863985,-2.8703955645204076
171.0,27.413918562472006,3.1571579881545233,27.391248660376306,1.8329335447555195,27.355839946982915,-1.3269849390559898,27.34798581794975,-2.9264211019077777
172.0,27.412757475090537,3.154688689200384,27.386632521910204,1.8222415192673225,27.343239965461358,-1.3615010756337824,27.33150755821935,-2.975188185331092
173.0,27.411573330853436,3.152757254940383,27.381913218370833,1.8136858215153495,27.330290894005984,-1.3902302371475912,27.314528162721828,-3.016427026400578
174.0,27.410371864406194,3.151373176680721,27.377113401868,1.80731093360248,27.317053006900785,-1.4130102317938338,27.2971251093851,-3.0498993055911683
175.0,27.409158900329423,3.1505432914162554,27.372256188374415,1.8031509575437497,27.303588487964593,-1.4297054764163306,27.27937877041745,-3.075399998820245
176.0,27.407940324988658,3.150271743845792,27.367365049680394,1.8012293818014768,27.289961175522592,-1.4402081251972447,27.26137211429494,-3.0927591403493864
177.0,27.406722057987295,3.150559961328952,27.36246370217306,1.80155889575758,27.276236289483343,-1.444439106836029,27.243190379392345,-3.1018435020821755
178.0,27.405510023358758,3.1514066419945266,27.357575992908856,1.8041412543658737,27.262480140888368,-1.4423490563540327,27.22492071887405,-3.1025581675418152
179.0,27.40431012063717,3.1528077561470695,27.352725783490012,1.8089671950489787,27.248759824562757,-1.4339191271822642,27.206651816852435,-3.09484797724582
180.0,27.403128195948202,3.1547565610566153,27.347936832296178,1.8160164086851864,27.235142895779312,-1.419161668926364,27.18847347626605,-3.0786988209146386
181.0,27.401970013263615,3.157243629146535,27.343232675661152,1.8252575662813229,27.221697032150928,-1.39812075618363,27.170476179425187,-3.0541387510311324
182.0,27.400841225964065,3.1602568895283127,27.338636508621008,1.8366484026323064,27.20848968228252,-1.3708725540480202,27.152750622711945,-3.021238891778239
183.0,27.399747348854994,3.163781682762476,27.334171065892345,1.8501358579494251,27.195587703037717,-1.3375255065002136,27.13538722749767,-2.980114117391082
184.0,27.39869373077982,3.167800828651991,27.32985850376833,1.86565627807272,27.18305698760124,-1.2982203347646646,27.118475629942147,-2.9309234745335573
185.0,27.39768552797333,3.17229470680536,27.3257202836433,1.8831356734985434,27.170962086836703,-1.2531298339389139,27.102104152953327,-2.87387032449746
186.0,27.396727678295825,3.177241349634187,27.321777057894643,1.9024900370303044,27.15936582674411,-1.2024584577647488,27.086359264198947,-2.809202182870564
187.0,27.395824876485406,3.1826165473784727,27.318048558861882,1.9236257194216932,27.14832892510229,-1.146441683315146,27.071325024654644,-2.737210236852377
188.0,27.394981550561802,3.1883939646846784,27.314553491666974,1.9464398619180656,27.137909610629976,-1.0853451496042226,27.057082532729982,-2.6582285236166
189.0,27.394201839509975,3.194545268191632,27.31130943161641,1.9708208841307453,27.1281632482067,-1.0194635666568672,27.043709369513383,-2.572632757014162
190.0,27.393489572366214,3.2010402645134945,27.308332726914195,1.9966490251954099,27.11914197385194,-0.9491193943768792,27.0312790511013,-2.4808387944362096
191.0,27.39284824882226,3.2078470479468137,27.305638407394945,2.023796935688523,27.110894343260604,-0.8746612935672431,27.01986049430608,-2.383300740741987
192.0,27.39228102145595,3.214932157166686,27.30324009995823,2.0521303172993726,27.10346499772852,-0.7964623546386349,27.009517502253697,-2.2805086917174435
193.0,27.391790679687986,3.2222607401216123,27.301149951348336,2.081508606797996,27.096894351266684,-0.7149181128147291,27.000308276472055,-2.172986125432857
194.0,27.391379635555836,3.2297967262851444,27.299378558879106,2.111785700402436,27.091218302595777,-0.6304443619421249,26.992284962019628,-2.0612869559851674
195.0,27.39104991138548,3.2375030053742364,27.297934909650408,2.1428107142393173,27.086467975529477,-0.5434747822465056,26.985493232006505,-1.945992270270466
196.0,27.390803129431664,3.2453416116030382,27.296826328742938,2.1744287762210206,27.082669490998498,-0.45445840047710817,26.979971917510404,-1.8277067744694762
197.0,27.39064050354613,3.253273912505307,27.296058436810938,2.206481844334121,27.079843773639137,-0.363856903751099,26.975752688391694,-1.707054982657695
198.0,27.39056283292183,3.261260801327495,27.295635117419963,2.2388095460509874,27.078006395475825,-0.2721418309812975,26.972859789870938,-1.58467718519978
199.0,27.390570497949476,3.2692628919716924,27.295558494399103,2.271250033351606,27.077167458774888,-0.179791667963201,26.971309838962675,-1.4612252391774518
200.0,27.390663458210316,3.2772407154518532,27.295828919395486,2.3036408476724546,27.07733151964467,-0.08728887395150764,26.971111683977192,-1.337358226884703
201.0,27.39084125261707,3.2851549168140934,27.296444969734843,2.3358197889910457,27.078497553418217,0.004883131183646583,26.97226632933198,-1.2137380312690311
202.0,27.391103001702234,3.292966451471358,27.297403456606073,2.367625783209917,27.080658962290084,0.09624298939894516,26.97476692688019,-1.091024879006909
203.0,27.39144741204075,3.3006367799052327,27.298699443501807,2.3988997420223654,27.083803625103265,0.18631440651827802,26.978598833895834,-0.9698729026100068
204.0,27.391872782781526,3.3081280596984755,27.300326274761954,2.4294854095241476,27.087913988608612,0.27462910425148834,26.98373973678326,-0.8509257725410464
205.0,27.392377014250407,3.3154033338800275,27.302275613984545,2.4592301899798485,27.09296719896267,0.3607296934964097,26.99015983853299,-0.7348124487904784
206.0,27.392957618575274,3.3224267145880617,27.30453749198865,2.4879859513560234,27.09893527170245,0.4441724416741408,26.997822106956463,-0.6221430987798726
207.0,27.393611732272447,3.329163561087455,27.30710036393946,2.515609799491756,27.10578529795071,0.5245299087662261,27.006682579824997,-0.513505224906595
208.0,27.39433613072284,3.335580651213917,27.30995117517611,2.541964818087081,27.113479684172653,0.60139342905984,27.016690722237765,-0.40946004064849717
209.0,27.395127244455853,3.3416463453610845,27.31307543521991,2.5669207700445327,27.12197642243423,0.6743754182951989,27.027789830867878,-0.31053912905505854
210.0,27.39598117714909,3.3473307421726872,27.31645729938471,2.590354756093518,27.131229387809036,0.743111488873808,27.039917479199417,-0.21724141183025836
211.0,27.39689372524333,3.3526058251554502,27.320079657362868,2.612151827051349,27.14118865935097,0.8072623589397097,27.05300599747997,-0.1300304512379853
212.0,27.397860399063543,3.3574455994847483,27.323924228120354,2.6322055465271035,27.151800860894085,0.8665155444184904,27.066982980875963,-0.049332100914085686
213.0,27.39887644532939,3.361826218335608,27.3279716604025,2.6504185013416475,27.16300951786017,0.9205868263928494,27.08177181922986,0.024467484471557555
214.0,27.399936870932194,3.3657260981354113,27.332201638128893,2.6667027574160898,27.174755426245973,0.9692214894437541,27.097292241872605,0.09102347673734812
215.0,27.40103646784928,3.369126022201499,27.33659298994075,2.6809802593620873,27.186977030021147,1.0121953297148139,27.113460871129252,0.15003364058813418
216.0,27.40216983906202,3.3720092322944026,27.341123802157522,2.6931831724842255,27.199610803289566,1.049315434401393,27.13019177845807,0.20123924580195762
217.0,27.403331425339704,3.3743615076881497,27.345771534400427,2.703254166371778,27.212591633742708,1.0804207370736663,27.14739703756412,0.24442563679687623
218.0,27.40451553274855,3.376171231430078,27.350513137148937,2.71114663970792,27.225853204157637,1.1053823556700877,27.164987269310892,0.2794224752303194
219.0,27.405716360742623,3.3774294435337424,27.355325170511517,2.716824886352356,27.239328368952766,1.12410372211329,27.182872173796945,0.30610367468469235
220.0,27.406928030692534,3.3781298809198574,27.360183923512942,2.7202642031561766,27.252949523105706,1.1365205142819264,27.200961045550535,0.3243870492000269
221.0,27.40814461470694,3.378269003990283,27.36506553322707,2.721450940340617,27.266648961047764,1.1426004025148018,27.219163268404202,0.3342336994410573
222.0,27.409360164602447,3.377846009791199,27.369946103115108,2.720382495610238,27.280359223472246,1.1423426239213654,27.237388787227044,0.33564716164084984
223.0,27.410568740878595,3.3768628317879177,27.374801819964198,2.7170672534762446,27.29401343031935,1.135777398539318,27.255548554298326,0.32867234519108024
224.0,27.41176444155638,3.375324126341525,27.37960906885892,2.7115244715348865,27.307545598522726,1.1229652018294871,27.273554948689892,0.3133942848988056
225.0,27.41294143074142,3.3732372460410147,27.384344545658344,2.7037841156750915,27.32089094341459,1.10399590815382,27.291322167574595,0.2899367335617171
226.0,27.41409396677596,3.370612200105654,27.388985366492456,2.693886646386744,27.333986162982598,1.0789878197726637,27.30876658888539,0.2584606196990933
227.0,27.41521642984783,3.3674616021333463,27.393509173833866,2.6818827584989435,27.346769704447922,1.0480865955487673,27.325807105208163,0.2191623940818772
228.0,27.416303348928558,3.363800605523835,27.39789423874251,2.6678330768023386,27.359182012886443,1.011464092998125,27.34236542919659,0.17227228720338417
229.0,27.417349427917898,3.3596468269612956,27.40211955892251,2.6518078101019853,27.37116576184134,0.9693171366057527,27.358366371146914,0.11805249809805218
230.0,27.41834957087701,3.3550202583887483,27.4061649522702,2.633886366309042,27.382666066074123,0.9218662244689995,27.373738089663817,0.056795333003435644
231.0,27.419298906238435,3.349943167954592,27.410011145630875,2.614156931215291,27.393630676770755,0.8693541843706498,27.38841231658637,-0.011178689654713025
232.0,27.420192809886558,3.344439990453509,27.413639858518177,2.5927160136039618,27.40401015966085,0.8120447893477092,27.402324557527557,-0.08552275355421557
233.0,27.421026927008928,3.338537207825567,27.417033881583748,2.5696679593410465,27.41375805662041,0.7502213417440942,27.415414269514443,-0.16586566572658512
234.0,27.42179719262485,3.332263220312342,27.420177149656407,2.5451244370606787,27.422831031413935,0.6841852336311263,27.427625017303015,-0.25181377450292075
235.0,27.422499850704828,3.325648208903459,27.423054809198227,2.5192038980188443,27.431189000290853,0.6142544903873102,27.438904609985237,-0.34295287587841017
236.0,27.423131471800673,3.3187239897367533,27.42565328005091,2.4920310126314575,27.43879524818581,0.5407623031503022,27.449205219510844,-0.4388501019137152
237.0,27.423688969113762,3.3115238611428026,27.42796031136824,2.4637360861548245,27.445616531284575,0.46405555482368754,27.4584834827168,-0.539055786570998
238.0,27.424169612935437,3.3040824440483334,27.42996503165049,2.43445445589731,27.45162316670873,0.38449334334151786,27.466700588397124,-0.6431053060303782
239.0,27.424571043401155,3.2964355164743324,27.431657992813662,2.4043258722834366,27.45678911004518,0.3024455049838082,27.47382235086006,-0.7505208920387076
240.0,27.42489128150689,3.2886198428836906,27.433031208240916,2.3734938660243756,27.461092021403065,0.21829113970269987,27.479819271310532,-0.8608134181958178
241.0,27.425128738343933,3.280672999148976,27.434078184775878,2.3421051035838616,27.4645133206228,0.13241713967292412,27.48466658826866,-0.9734841602842721
242.0,27.425282222515214,3.2726331939225872,27.434793948627252,2.310308733070542,27.467038232191598,0.0452167216239161,27.48834431809189,-1.088026532786813
243.0,27.42535094570394,3.264539087205236,27.435175065162532,2.2782557226364304,27.4686558203395,-0.04291203704516988,27.49083728651241,-1.2039278046189281
244.0,27.42533452637247,3.2564296069135708,27.435219652575054,2.246098193419016,27.46935901470058,-0.13156765882601462,27.492135151935592,-1.3206707978253576
245.0,27.42523299157686,3.2483437642560204,27.434927389414256,2.213988749033149,27.469144626828744,-0.2203467241471344,27.492232421071314,-1.4377355735549315
246.0,27.42504677688985,3.240320468728214,27.434299515973418,2.182079803598185,27.468013357756796,-0.30884532796594044,27.491128457290582,-1.554601110036657
247.0,27.424776724432476,3.232398343541206,27.433338829533373,2.1505229102781414,27.465969796683936,-0.39666053610804397,27.48882748191646,-1.6707469775329855
248.0,27.42442407902187,3.2246155422932645,27.43204967346484,2.119468092315259,27.46302241077209,-0.4833918425910042,27.485338568473175,-1.785655015344787
249.0,27.42399048245013,3.2170095676945607,27.430437920196088,2.089063178554312,27.459183525926424,-0.5686426290972975,27.48067562973145,-1.8988110158883842
