memory,r_deg,i_deg,score,n_coef,N
1,13,2,0.42465911339545526,30,9676
1,13,3,0.40132993280822793,32,9676
1,13,4,0.3914501177994759,34,9676
1,13,5,0.3913095167233426,36,9676
1,13,6,0.39088526534157686,38,9676
1,13,7,0.39064039330280315,40,9676
1,13,8,0.39048836606064335,42,9676
1,13,9,0.38907553657818605,44,9676
1,13,10,0.38851741156399655,46,9676
1,13,11,0.3853407459819628,48,9676
1,13,12,0.38533836342460104,50,9676
1,13,13,0.38322337169399634,52,9676
1,13,14,0.38319716693676403,54,9676
1,13,15,0.3828061492803322,56,9676
1,14,1,0.7868006005270353,30,9676
1,14,2,0.42446599026530246,32,9676
1,14,3,0.40131568710558085,34,9676
1,14,4,0.39143092423639303,36,9676
1,14,5,0.3912918441662972,38,9676
1,14,6,0.390868961267336,40,9676
1,14,7,0.3906256603638921,42,9676
1,14,8,0.3904746326832435,44,9676
1,14,9,0.3890541580993984,46,9676
1,14,10,0.3884988621612417,48,9676
1,14,11,0.3853253504596047,50,9676
1,14,12,0.38532744779550476,52,9676
1,14,13,0.3832058978034033,54,9676
1,14,14,0.3831843724650752,56,9676
1,14,15,0.3827921975422735,58,9676
1,15,1,0.7853882422143841,32,9676
1,15,2,0.4234037689045844,34,9676
1,15,3,0.4011661271350919,36,9676
1,15,4,0.3912997986287904,38,9676
1,15,5,0.39115796318405877,40,9676
1,15,6,0.3907345110794545,42,9676
1,15,7,0.39048782524659137,44,9676
1,15,8,0.39033924194497077,46,9676
1,15,9,0.3889193394137513,48,9676
1,15,10,0.3883638163810873,50,9676
1,15,11,0.3851488361978049,52,9676
1,15,12,0.3851538019537119,54,9676
1,15,13,0.38297874255096426,56,9676
1,15,14,0.38295512168656815,58,9676
1,15,15,0.3825694002183828,60,9676
2,1,1,0.9488160048069191,6,9675
2,1,2,0.7372961281688296,9,9675
2,1,3,0.7043357807288112,12,9675
2,1,4,0.6829329128971175,15,9675
2,1,5,0.6817694433764027,18,9675
2,1,6,0.6814381494432673,21,9675
2,1,7,0.6814161297803174,24,9675
2,1,8,0.681353613173413,27,9675
2,1,9,0.681306600282127,30,9675
2,1,10,0.6811122751426139,33,9675
2,1,11,0.679661825786738,36,9675
2,1,12,0.6788308033862392,39,9675
2,1,13,0.6783379056436974,42,9675
2,1,14,0.6779412394781644,45,9675
2,1,15,0.6774186205914638,48,9675
2,2,1,0.739161873721288,9,9675
2,2,2,0.40075430847373356,12,9675
2,2,3,0.3850442859922737,15,9675
2,2,4,0.33361025136698896,18,9675
2,2,5,0.3274817917900369,21,9675
2,2,6,0.3265521105070483,24,9675
2,2,7,0.3262720593742203,27,9675
2,2,8,0.3258869993224492,30,9675
2,2,9,0.3257048129593039,33,9675
2,2,10,0.32509594527817076,36,9675
2,2,11,0.32484467412380275,39,9675
2,2,12,0.3248373623498312,42,9675
2,2,13,0.3244640269032458,45,9675
2,2,14,0.3244518368191868,48,9675
2,2,15,0.3241828732089999,51,9675
2,3,1,0.7052375317709819,12,9675
2,3,2,0.38505206478022125,15,9675
2,3,3,0.3687823931091766,18,9675
2,3,4,0.3159769293864785,21,9675
2,3,5,0.3070432339811522,24,9675
2,3,6,0.30568851302792116,27,9675
2,3,7,0.3051124221520436,30,9675
2,3,8,0.30444225643231654,33,9675
2,3,9,0.3043132434697311,36,9675
2,3,10,0.30382134587922194,39,9675
2,3,11,0.3036064627878272,42,9675
2,3,12,0.30351804586157,45,9675
2,3,13,0.3032606897830063,48,9675
2,3,14,0.30321227036549836,51,9675
2,3,15,0.30308731233876873,54,9675
2,4,1,0.6845774388845749,15,9675
2,4,2,0.33494842552478926,18,9675
