memory,r_deg,i_deg,lag_depth,lead_depth,estimator_factory,score,n_coef,N
1,1,2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5689331879634582,18,9670
1,1,2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5690142118036795,18,9670
1,1,2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5699052755034009,18,9670
1,1,2,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5724145142373575,18,9670
1,1,2,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.536744069682717,20,9669
1,1,2,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5367509410265777,20,9669
1,1,2,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5368483861562819,20,9669
1,1,2,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5380557723937339,20,9669
1,1,2,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5421072986020902,20,9669
1,1,2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.643222607921016,14,9672
1,1,2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6432237248129613,14,9672
1,1,2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6432629305395312,14,9672
1,1,2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6449620691831061,14,9672
1,1,2,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6576637586504639,14,9672
1,1,2,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.6014513700840454,16,9671
1,1,2,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.6014539703360487,16,9671
1,1,2,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6014840185145013,16,9671
1,1,2,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6018564408127485,16,9671
1,1,2,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6035121743846168,16,9671
1,1,2,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5690315642143405,18,9670
1,1,2,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5690374993444586,18,9670
1,1,2,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5691068793940907,18,9670
1,1,2,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5699913518568122,18,9670
1,1,2,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5726808422465706,18,9670
1,1,2,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.537446082647492,20,9669
1,1,2,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.53745138204891,20,9669
1,1,2,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5375194623578422,20,9669
1,1,2,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5384312418382691,20,9669
1,1,2,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5421342455282253,20,9669
1,1,2,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.508044250028534,22,9668
1,1,2,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5080476926905804,22,9668
1,1,2,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5080978429206111,22,9668
1,1,2,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5088330597140287,22,9668
1,1,2,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5129909937010547,22,9668
1,1,2,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.615709776315718,16,9671
1,1,2,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.615717144303529,16,9671
1,1,2,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.6158423567324145,16,9671
1,1,2,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6182019525235094,16,9671
1,1,2,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.6314394258910688,16,9671
1,1,2,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5713429979899893,18,9670
1,1,2,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5713489841390663,18,9670
1,1,2,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5714295345184581,18,9670
1,1,2,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5723645696369051,18,9670
1,1,2,4,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5750742548622898,18,9670
1,1,2,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.538613997013571,20,9669
1,1,2,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5386188000450554,20,9669
1,1,2,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5386832292496644,20,9669
1,1,2,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5396273812080273,20,9669
1,1,2,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5436112567600738,20,9669
1,1,2,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5095289632128834,22,9668
1,1,2,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5095314714769742,22,9668
1,1,2,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.50957668179279,22,9668
1,1,2,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5102494002334885,22,9668
1,1,2,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5140442023407554,22,9668
1,1,2,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.4845499420561991,24,9667
1,1,2,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.48455068806054336,24,9667
1,1,2,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.4845785391416971,24,9667
1,1,2,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.48504088560153735,24,9667
1,1,2,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.4880747471987492,24,9667
1,1,2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5850331589704267,18,9670
1,1,2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5850459079300696,18,9670
1,1,2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.585250782009519,18,9670
1,1,2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5886422089421588,18,9670
1,1,2,5,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.602945888858302,18,9670
1,1,2,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5406776439215849,20,9669
1,1,2,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.5406844010061049,20,9669
1,1,2,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.5407823242141024,20,9669
1,1,2,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.5420716442555321,20,9669
1,1,2,5,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.5465228866994453,20,9669
1,1,2,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.5106243767306103,22,9668
